Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""1s.20g""","=""1G""","=""4""",9,"=""[""","=""24.55337902562314""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20h""","=""3H*""","=""5""",11,"=""[""","=""24.55337927753287""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20h""","=""3H*""","=""6""",13,"=""[""","=""24.55337928102836""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20h""","=""3H*""","=""4""",9,"=""[""","=""24.55337928420074""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20h""","=""1H*""","=""5""",11,"=""[""","=""24.55337928656834""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20i""","=""3I""","=""6""",13,"=""[""","=""24.55337936445745""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20i""","=""3I""","=""7""",15,"=""[""","=""24.55337936690924""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20i""","=""3I""","=""5""",11,"=""[""","=""24.55337936914306""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20i""","=""1I""","=""6""",13,"=""[""","=""24.55337937091802""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.20p""","=""1P*""","=""1""",3,"=""[""","=""24.5534206352452""","=""]""","=""0.0000000000021""","=""L22715c201"""
"=""1s.21s""","=""3S""","=""1""",3,"=""[""","=""24.55565069436""","=""]""","=""0.00000000003""","=""L22715c201"""
"=""1s.21s""","=""1S""","=""0""",1,"=""[""","=""24.55612653018""","=""]""","=""0.00000000003""","=""L22715c201"""
"=""1s.21p""","=""3P*""","=""2""",5,"=""[""","=""24.556339637531""","=""]""","=""0.000000000012""","=""L22715c201"""
"=""1s.21p""","=""3P*""","=""1""",3,"=""[""","=""24.556339644738""","=""]""","=""0.000000000012""","=""L22715c201"""
"=""1s.21p""","=""3P*""","=""0""",1,"=""[""","=""24.556339733387""","=""]""","=""0.000000000012""","=""L22715c201"""
"=""1s.21d""","=""3D""","=""3""",7,"=""[""","=""24.5565328762861""","=""]""","=""0.0000000000014""","=""L22715c201"""
"=""1s.21d""","=""3D""","=""2""",5,"=""[""","=""24.5565328774206""","=""]""","=""0.0000000000014""","=""L22715c201"""
"=""1s.21d""","=""3D""","=""1""",3,"=""[""","=""24.5565328931795""","=""]""","=""0.0000000000014""","=""L22715c201"""
"=""1s.21d""","=""1D""","=""2""",5,"=""[""","=""24.5565351408426""","=""]""","=""0.0000000000010""","=""L22715c201"""
"=""1s.21f""","=""3F*""","=""3""",7,"=""[""","=""24.5565400235702""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.21f""","=""3F*""","=""4""",9,"=""[""","=""24.55654002722019""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21f""","=""3F*""","=""2""",5,"=""[""","=""24.55654003459341""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21f""","=""1F*""","=""3""",7,"=""[""","=""24.5565400477051""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.21g""","=""3G""","=""4""",9,"=""[""","=""24.55654095717917""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21g""","=""3G""","=""5""",11,"=""[""","=""24.55654096179770""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21g""","=""3G""","=""3""",7,"=""[""","=""24.55654096601155""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21g""","=""1G""","=""4""",9,"=""[""","=""24.55654096886802""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21h""","=""3H*""","=""5""",11,"=""[""","=""24.55654118672500""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21h""","=""3H*""","=""6""",13,"=""[""","=""24.55654118974451""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21h""","=""3H*""","=""4""",9,"=""[""","=""24.55654119248506""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21h""","=""1H*""","=""5""",11,"=""[""","=""24.55654119453030""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21i""","=""3I""","=""6""",13,"=""[""","=""24.55654126193121""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21i""","=""3I""","=""7""",15,"=""[""","=""24.55654126404923""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21i""","=""3I""","=""5""",11,"=""[""","=""24.55654126597905""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21i""","=""1I""","=""6""",13,"=""[""","=""24.55654126751224""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.21p""","=""1P*""","=""1""",3,"=""[""","=""24.5565769200690""","=""]""","=""0.0000000000019""","=""L22715c201"""
"=""1s.22s""","=""3S""","=""1""",3,"=""[""","=""24.55850808692""","=""]""","=""0.00000000003""","=""L22715c201"""
"=""1s.22s""","=""1S""","=""0""",1,"=""[""","=""24.55892134105""","=""]""","=""0.00000000003""","=""L22715c201"""
"=""1s.22p""","=""3P*""","=""2""",5,"=""[""","=""24.559106538582""","=""]""","=""0.000000000011""","=""L22715c201"""
"=""1s.22p""","=""3P*""","=""1""",3,"=""[""","=""24.559106544847""","=""]""","=""0.000000000010""","=""L22715c201"""
"=""1s.22p""","=""3P*""","=""0""",1,"=""[""","=""24.559106621908""","=""]""","=""0.000000000011""","=""L22715c201"""
"=""1s.22d""","=""3D""","=""3""",7,"=""[""","=""24.5592745737552""","=""]""","=""0.0000000000012""","=""L22715c201"""
"=""1s.22d""","=""3D""","=""2""",5,"=""[""","=""24.5592745747420""","=""]""","=""0.0000000000012""","=""L22715c201"""
"=""1s.22d""","=""3D""","=""1""",3,"=""[""","=""24.5592745884477""","=""]""","=""0.0000000000012""","=""L22715c201"""
"=""1s.22d""","=""1D""","=""2""",5,"=""[""","=""24.5592765449833""","=""]""","=""0.0000000000009""","=""L22715c201"""
"=""1s.22f""","=""3F*""","=""3""",7,"=""[""","=""24.5592807923584""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.22f""","=""3F*""","=""4""",9,"=""[""","=""24.55928079552667""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22f""","=""3F*""","=""2""",5,"=""[""","=""24.55928080193925""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22f""","=""1F*""","=""3""",7,"=""[""","=""24.5592808133681""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.22g""","=""3G""","=""4""",9,"=""[""","=""24.55928160483365""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22g""","=""3G""","=""5""",11,"=""[""","=""24.55928160885036""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22g""","=""3G""","=""3""",7,"=""[""","=""24.55928161251521""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22g""","=""1G""","=""4""",9,"=""[""","=""24.55928161499998""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22h""","=""3H*""","=""5""",11,"=""[""","=""24.55928180466580""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22h""","=""3H*""","=""6""",13,"=""[""","=""24.55928180729191""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22h""","=""3H*""","=""4""",9,"=""[""","=""24.55928180967538""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22h""","=""1H*""","=""5""",11,"=""[""","=""24.55928181145418""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22i""","=""3I""","=""6""",13,"=""[""","=""24.55928187016429""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22i""","=""3I""","=""7""",15,"=""[""","=""24.55928187200633""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22i""","=""3I""","=""5""",11,"=""[""","=""24.55928187368470""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22i""","=""1I""","=""6""",13,"=""[""","=""24.55928187501828""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.22p""","=""1P*""","=""1""",3,"=""[""","=""24.5593128887423""","=""]""","=""0.0000000000016""","=""L22715c201"""
"=""1s.23s""","=""3S""","=""1""",3,"=""[""","=""24.560996280408""","=""]""","=""0.000000000022""","=""L22715c201"""
"=""1s.23s""","=""1S""","=""0""",1,"=""[""","=""24.56135746346""","=""]""","=""0.00000000003""","=""L22715c201"""
"=""1s.23p""","=""3P*""","=""2""",5,"=""[""","=""24.561519420492""","=""]""","=""0.000000000009""","=""L22715c201"""
"=""1s.23p""","=""3P*""","=""1""",3,"=""[""","=""24.561519425972""","=""]""","=""0.000000000009""","=""L22715c201"""
"=""1s.23p""","=""3P*""","=""0""",1,"=""[""","=""24.561519493381""","=""]""","=""0.000000000010""","=""L22715c201"""
"=""1s.23d""","=""3D""","=""3""",7,"=""[""","=""24.5616664509983""","=""]""","=""0.0000000000011""","=""L22715c201"""
"=""1s.23d""","=""3D""","=""2""",5,"=""[""","=""24.5616664518621""","=""]""","=""0.0000000000011""","=""L22715c201"""
"=""1s.23d""","=""3D""","=""1""",3,"=""[""","=""24.5616664638563""","=""]""","=""0.0000000000011""","=""L22715c201"""
"=""1s.23d""","=""1D""","=""2""",5,"=""[""","=""24.5616681773862""","=""]""","=""0.0000000000007""","=""L22715c201"""
"=""1s.23f""","=""3F*""","=""3""",7,"=""[""","=""24.5616718950023""","=""]""","=""0.0000000000005""","=""L22715c201"""
