obs_E(eV),unc_obs_E,ritz_wn(eV),unc_ritz_wn,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""3.2450723""","=""0.0000007""","=""3.24506747041""","=""0.00000000025""","=""10*""","=""2.6814e+06""",AAA,"=""[20.96409636464]""","=""[24.209163835045]""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L14926""",
"=""3.2450723""","=""0.0000007""","=""3.24506679269""","=""0.00000000025""","=""10*""","=""4.8261e+06""",AAA,"=""[20.96409636464]""","=""[24.209163157329]""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L14926""",
"=""""","=""""","=""3.24494498453""","=""0.00000000025""","=""1""","=""3.5752e+06""",AAA,"=""[20.96421885051]""","=""[24.209163835045]""","=""1s.2p""","=""3P*""","=""0""","=""1s.6d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""3.233267""","=""0.000008""","=""3.2332713932""","=""0.0000000009""","=""0""","=""9.6470e+05""",AAA,"=""[21.2180227112]""","=""[24.4512941044573]""","=""1s.2p""","=""1P*""","=""1""","=""1s.10d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L551,L366""",
"=""""","=""""","=""3.2294373079""","=""0.0000000009""","=""""","=""3.7425e+05""",AAA,"=""[21.2180227112]""","=""[24.44746001910]""","=""1s.2p""","=""1P*""","=""1""","=""1s.10s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""3.2049113341""","=""0.0000000009""","=""3*""","=""1.3592e+06""",AAA,"=""[20.96408688908]""","=""[24.1689982232]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.2049018586""","=""0.0000000009""","=""3*""","=""8.1551e+05""",AAA,"=""[20.96409636464]""","=""[24.1689982232]""","=""1s.2p""","=""3P*""","=""1""","=""1s.6s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""3.2047793727""","=""0.0000000009""","=""1""","=""2.7184e+05""",AAA,"=""[20.96421885051]""","=""[24.1689982232]""","=""1s.2p""","=""3P*""","=""0""","=""1s.6s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""3.201337""","=""0.000008""","=""3.2013404061""","=""0.0000000009""","=""1""","=""1.3386e+06""",AAA,"=""[21.2180227112]""","=""[24.419363117280]""","=""1s.2p""","=""1P*""","=""1""","=""1s.9d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L551""",
"=""""","=""""","=""3.1960653663""","=""0.0000000009""","=""""","=""5.1753e+05""",AAA,"=""[21.2180227112]""","=""[24.41408807749]""","=""1s.2p""","=""1P*""","=""1""","=""1s.9s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""3.1874949081""","=""0.0000000009""","=""""","=""9.4746e+06""",AAA,"=""[19.819614525]""","=""[23.0071094335]""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""3.187459""","=""0.000008""","=""3.1874613465""","=""0.0000000009""","=""500*""","=""9.4746e+06""",AAA,"=""[19.819614525]""","=""[23.0070758719]""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14925c72""",
"=""3.187459""","=""0.000008""","=""3.1874586203""","=""0.0000000009""","=""500*""","=""9.4746e+06""",AAA,"=""[19.819614525]""","=""[23.00707314571]""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14925c72""",
"=""""","=""""","=""3.1566968333""","=""0.0000000009""","=""1""","=""1.9371e+06""",AAA,"=""[21.2180227112]""","=""[24.374719544511]""","=""1s.2p""","=""1P*""","=""1""","=""1s.8d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L366""",
"=""3.149184""","=""0.000008""","=""3.1491573665""","=""0.0000000009""","=""0""","=""7.4475e+05""",AAA,"=""[21.2180227112]""","=""[24.3671800778]""","=""1s.2p""","=""1P*""","=""1""","=""1s.8s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L366""",
"=""3.1262950""","=""0.0000008""","=""3.1262952461""","=""0.0000000010""","=""20""","=""6.9507e+06""",AAA,"=""[20.615774823]""","=""[23.74207006880]""","=""1s.2s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14926""",
"=""""","=""""","=""3.1205602127""","=""0.0000000006""","=""""","=""2.2842e+01""",AAA,"=""[20.615774823]""","=""[23.73633503536]""","=""1s.2s""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""""","=""""","=""3.0915746701""","=""0.0000000009""","=""1""","=""2.9612e+06""",AAA,"=""[21.2180227112]""","=""[24.309597381304]""","=""1s.2p""","=""1P*""","=""1""","=""1s.7d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L366""",
"=""3.080268""","=""0.000008""","=""3.0802631945""","=""0.0000000009""","=""1""","=""1.1281e+06""",AAA,"=""[21.2180227112]""","=""[24.2982859057]""","=""1s.2p""","=""1P*""","=""1""","=""1s.7s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L14924""",
"=""3.0785712""","=""0.0000008""","=""3.07857660508""","=""0.00000000025""","=""50*""","=""3.2224e+05""",AAA,"=""[20.96408688908]""","=""[24.042663494166]""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""L14926""",
"=""3.0785712""","=""0.0000008""","=""3.07857543244""","=""0.00000000025""","=""50*""","=""2.8999e+06""",AAA,"=""[20.96408688908]""","=""[24.042662321526]""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L14926""",
"=""3.0785712""","=""0.0000008""","=""3.07857535300""","=""0.00000000025""","=""50*""","=""1.1601e+07""",AAA,"=""[20.96408688908]""","=""[24.042662242088]""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L14926""",
"=""3.0785712""","=""0.0000008""","=""3.07856712953""","=""0.00000000025""","=""50*""","=""4.8336e+06""",AAA,"=""[20.96409636464]""","=""[24.042663494166]""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L14926""",
"=""3.0785712""","=""0.0000008""","=""3.07856595689""","=""0.00000000025""","=""50*""","=""8.6997e+06""",AAA,"=""[20.96409636464]""","=""[24.042662321526]""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L14926""",
"=""""","=""""","=""3.07844464365""","=""0.00000000025""","=""5""","=""6.4448e+06""",AAA,"=""[20.96421885051]""","=""[24.042663494166]""","=""1s.2p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""3.0078811""","=""0.0000009""","=""3.0078845291""","=""0.0000000012""","=""12*""","=""2.4738e+06""",AAA,"=""[20.96408688908]""","=""[23.9719714182]""","=""1s.2p""","=""3P*""","=""2""","=""1s.5s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L14926""",
"=""3.0078811""","=""0.0000009""","=""3.0078750535""","=""0.0000000012""","=""12*""","=""1.4843e+06""",AAA,"=""[20.96409636464]""","=""[23.9719714182]""","=""1s.2p""","=""3P*""","=""1""","=""1s.5s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L14926""",
"=""""","=""""","=""3.0077525676""","=""0.0000000012""","=""2""","=""4.9476e+05""",AAA,"=""[20.96421885051]""","=""[23.9719714182]""","=""1s.2p""","=""3P*""","=""0""","=""1s.5s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""2.9929799659""","=""0.0000000009""","=""""","=""3.069e+00""",AA,"=""[21.2180227112]""","=""[24.21100267716]""","=""1s.2p""","=""1P*""","=""1""","=""1s.6p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
"=""2.991226""","=""0.000007""","=""2.9912270827""","=""0.0000000009""","=""3""","=""4.8812e+06""",AAA,"=""[21.2180227112]""","=""[24.209249793955]""","=""1s.2p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L14925c72""",
"=""2.973141""","=""0.000007""","=""2.9731375640""","=""0.0000000011""","=""1""","=""1.8298e+06""",AAA,"=""[21.2180227112]""","=""[24.1911602752]""","=""1s.2p""","=""1P*""","=""1""","=""1s.6s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""2.8277776953""","=""0.0000000009""","=""""","=""5.317e+00""",AA,"=""[21.2180227112]""","=""[24.04580040653]""","=""1s.2p""","=""1P*""","=""1""","=""1s.5p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
"=""2.8247804""","=""0.0000004""","=""2.8247807009""","=""0.0000000009""","=""10""","=""8.9889e+06""",AAA,"=""[21.2180227112]""","=""[24.042803412125]""","=""1s.2p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L14926""",
"=""2.793194""","=""0.000006""","=""2.7931922785""","=""0.0000000015""","=""3""","=""3.2689e+06""",AAA,"=""[21.2180227112]""","=""[24.0112149898]""","=""1s.2p""","=""1P*""","=""1""","=""1s.5s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L14925c72""",
"=""2.7719997""","=""0.0000009""","=""2.77200574599""","=""0.00000000025""","=""200*""","=""6.8275e+05""",AAA,"=""[20.96408688908]""","=""[23.73609263507]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""L14926""",
"=""2.7719997""","=""0.0000009""","=""2.77200344988""","=""0.00000000025""","=""200*""","=""6.1440e+06""",AAA,"=""[20.96408688908]""","=""[23.73609033897]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L14926""",
"=""2.7719997""","=""0.0000009""","=""2.77200330102""","=""0.00000000025""","=""200*""","=""2.4579e+07""",AAA,"=""[20.96408688908]""","=""[23.73609019010]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L14926""",
"=""2.7719997""","=""0.0000009""","=""2.77199627043""","=""0.00000000025""","=""200*""","=""1.0241e+07""",AAA,"=""[20.96409636464]""","=""[23.73609263507]""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L14926""",
"=""2.7719997""","=""0.0000009""","=""2.77199397433""","=""0.00000000025""","=""200*""","=""1.8432e+07""",AAA,"=""[20.96409636464]""","=""[23.73609033897]""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L14926""",
"=""""","=""""","=""2.77187378456""","=""0.00000000025""","=""25""","=""1.3655e+07""",AAA,"=""[20.96421885051]""","=""[23.73609263507]""","=""1s.2p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""2.6298682""","=""0.0000003""","=""2.629871824""","=""0.000000003""","=""30*""","=""5.2894e+06""",AAA,"=""[20.96408688908]""","=""[23.593958713]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L14926""",
"=""2.6298682""","=""0.0000003""","=""2.629862348""","=""0.000000003""","=""30*""","=""3.1736e+06""",AAA,"=""[20.96409636464]""","=""[23.593958713]""","=""1s.2p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L14926""",
"=""""","=""""","=""2.629739862""","=""0.000000003""","=""4""","=""1.0579e+06""",AAA,"=""[20.96421885051]""","=""[23.593958713]""","=""1s.2p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""2.5240473576""","=""0.0000000011""","=""""","=""1.028e+01""",AA,"=""[21.2180227112]""","=""[23.74207006880]""","=""1s.2p""","=""1P*""","=""1""","=""1s.4p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
"=""""","=""""","=""2.5189870109""","=""0.0000000009""","=""""","=""6.235e+01""",AA,"=""[21.2180227112]""","=""[23.737009722091]""","=""1s.2p""","=""1P*""","=""1""","=""1s.4f""","=""1F*""","=""3""",3,7,E2,"=""T3908""","=""""",
"=""2.5183122""","=""0.0000003""","=""2.5183123241""","=""0.0000000009""","=""20""","=""1.9863e+07""",AAA,"=""[21.2180227112]""","=""[23.73633503536]""","=""1s.2p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L14926""",
"=""2.47124356""","=""0.00000015""","=""2.4712437069""","=""0.0000000010""","=""100""","=""1.3372e+07""",AAA,"=""[20.615774823]""","=""[23.08701852960]""","=""1s.2s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14926""",
"=""""","=""""","=""2.4582999751""","=""0.0000000006""","=""""","=""1.022e+02""",AA,"=""[20.615774823]""","=""[23.07407479777]""","=""1s.2s""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
"=""2.455548""","=""0.000005""","=""2.455547879""","=""0.000000003""","=""10""","=""6.7712e+06""",AAA,"=""[21.2180227112]""","=""[23.673570590]""","=""1s.2p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L14925c72""",
"=""""","=""""","=""2.1099879087""","=""0.0000000003""","=""""","=""4.310e+03""",AA,"=""[20.96408688908]""","=""[23.07407479777]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""1D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""2.1099784331""","=""0.0000000003""","=""""","=""1.232e+04""",AA,"=""[20.96409636464]""","=""[23.07407479777]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""2.1095696106""","=""0.0000000003""","=""""","=""1.9641e+06""",AAA,"=""[20.96408688908]""","=""[23.07365649967]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""2.109562""","=""0.000004""","=""2.1095641307""","=""0.0000000003""","=""500*""","=""1.7673e+07""",AAA,"=""[20.96408688908]""","=""[23.07365101981]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L366""",
"=""2.109562""","=""0.000004""","=""2.1095638195""","=""0.0000000003""","=""500*""","=""7.0708e+07""",AAA,"=""[20.96408688908]""","=""[23.07365070854]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L366""",
"=""2.109562""","=""0.000004""","=""2.1095601350""","=""0.0000000003""","=""500*""","=""2.9462e+07""",AAA,"=""[20.96409636464]""","=""[23.07365649967]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L366""",
"=""2.109562""","=""0.000004""","=""2.1095546552""","=""0.0000000003""","=""500*""","=""5.3019e+07""",AAA,"=""[20.96409636464]""","=""[23.07365101981]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""2.1094376492""","=""0.0000000003""","=""100""","=""3.9282e+07""",AAA,"=""[20.96421885051]""","=""[23.07365649967]""","=""1s.2p""","=""3P*""","=""0""","=""1s.3d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""1.8689958184""","=""0.0000000011""","=""""","=""2.3749e+01""",AAA,"=""[21.2180227112]""","=""[23.08701852960]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
"=""1.856052""","=""0.000003""","=""1.8560520866""","=""0.0000000009""","=""100""","=""6.3705e+07""",AAA,"=""[21.2180227112]""","=""[23.07407479777]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""1.8556283086""","=""0.0000000009""","=""""","=""1.510e+04""",AA,"=""[21.2180227112]""","=""[23.07365101981]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""1.7543763""","=""0.0000025""","=""1.754379530""","=""0.000000009""","=""200*""","=""1.5474e+07""",AAA,"=""[20.96408688908]""","=""[22.718466419]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L14925c72""",
"=""1.7543763""","=""0.0000025""","=""1.754370055""","=""0.000000009""","=""200*""","=""9.2844e+06""",AAA,"=""[20.96409636464]""","=""[22.718466419]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L14925c72""",
"=""1.754247""","=""0.000025""","=""1.754247569""","=""0.000000009""","=""30""","=""3.0948e+06""",AAA,"=""[20.96421885051]""","=""[22.718466419]""","=""1s.2p""","=""3P*""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""1.731011372""","=""0.000000009""","=""""","=""9.5686e+04""",AAA,"=""[22.718466419]""","=""[24.44947779185]""","=""1s.3s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.731010540""","=""0.000000009""","=""""","=""9.5686e+04""",AAA,"=""[22.718466419]""","=""[24.44947695951]""","=""1s.3s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.731010472""","=""0.000000009""","=""""","=""9.5686e+04""",AAA,"=""[22.718466419]""","=""[24.44947689179]""","=""1s.3s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""1.7022951""","=""0.0000023""","=""1.7022946475""","=""0.0000000037""","=""50""","=""1.8299e+07""",AAA,"=""[21.2180227112]""","=""[22.920317359]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""1.698403705""","=""0.000000009""","=""""","=""1.2913e+05""",AAA,"=""[22.718466419]""","=""[24.41687012452]""","=""1s.3s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.698402560""","=""0.000000009""","=""""","=""1.2913e+05""",AAA,"=""[22.718466419]""","=""[24.41686897915]""","=""1s.3s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.698402467""","=""0.000000009""","=""""","=""1.2913e+05""",AAA,"=""[22.718466419]""","=""[24.41686888593]""","=""1s.3s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.652701232""","=""0.000000009""","=""""","=""1.7942e+05""",AAA,"=""[22.718466419]""","=""[24.37116765163]""","=""1s.3s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.652699595""","=""0.000000009""","=""""","=""1.7942e+05""",AAA,"=""[22.718466419]""","=""[24.37116601407]""","=""1s.3s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.652699461""","=""0.000000009""","=""""","=""1.7942e+05""",AAA,"=""[22.718466419]""","=""[24.37116588077]""","=""1s.3s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.585825440""","=""0.000000009""","=""1*""","=""2.5748e+05""",AAA,"=""[22.718466419]""","=""[24.30429185947]""","=""1s.3s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""1.585822982""","=""0.000000009""","=""1*""","=""2.5748e+05""",AAA,"=""[22.718466419]""","=""[24.30428940164]""","=""1s.3s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""1.585822782""","=""0.000000009""","=""1*""","=""2.5748e+05""",AAA,"=""[22.718466419]""","=""[24.30428920147]""","=""1s.3s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""1.5313611006""","=""0.0000000037""","=""""","=""1.3791e+05""",AAA,"=""[22.920317359]""","=""[24.451678459372]""","=""1s.3s""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.4995719556""","=""0.0000000037""","=""""","=""1.8722e+05""",AAA,"=""[22.920317359]""","=""[24.419889314325]""","=""1s.3s""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.482353289""","=""0.000000009""","=""2*""","=""3.8126e+05""",AAA,"=""[22.718466419]""","=""[24.20081970804]""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""1.482349356""","=""0.000000009""","=""2*""","=""3.8126e+05""",AAA,"=""[22.718466419]""","=""[24.20081577498]""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""1.482349035""","=""0.000000009""","=""2*""","=""3.8126e+05""",AAA,"=""[22.718466419]""","=""[24.20081545451]""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""1.4551493386""","=""0.0000000037""","=""""","=""2.6252e+05""",AAA,"=""[22.920317359]""","=""[24.375466697350]""","=""1s.3s""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.4442008228""","=""0.0000000009""","=""""","=""1.1647e+04""",AAA,"=""[23.00707314571]""","=""[24.451273968544]""","=""1s.3p""","=""3P*""","=""2""","=""1s.10d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.4442006767""","=""0.0000000009""","=""""","=""1.0481e+05""",AAA,"=""[23.00707314571]""","=""[24.451273822448]""","=""1s.3p""","=""3P*""","=""2""","=""1s.10d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.4442006663""","=""0.0000000009""","=""""","=""4.1928e+05""",AAA,"=""[23.00707314571]""","=""[24.451273812052]""","=""1s.3p""","=""3P*""","=""2""","=""1s.10d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.4441980966""","=""0.0000000009""","=""""","=""1.7470e+05""",AAA,"=""[23.0070758719]""","=""[24.451273968544]""","=""1s.3p""","=""3P*""","=""1""","=""1s.10d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.4441979506""","=""0.0000000009""","=""""","=""3.1444e+05""",AAA,"=""[23.0070758719]""","=""[24.451273822448]""","=""1s.3p""","=""3P*""","=""1""","=""1s.10d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""1.4441645350""","=""0.0000000009""","=""""","=""2.3293e+05""",AAA,"=""[23.0071094335]""","=""[24.451273968544]""","=""1s.3p""","=""3P*""","=""0""","=""1s.10d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
