   j      e(j)         levid         stwt


  6.8159E-17 4.9058E-17 3.5259E-17 2.5304E-17 1.8144E-17 1.2993E-17 9.2997E-18
  6.6527E-18 4.7571E-18 3.4008E-18 2.4306E-18 1.7371E-18 1.2414E-18 8.8723E-19
  6.3421E-19 4.5347E-19 3.2438E-19 2.3214E-19 1.6624E-19 1.1917E-19 8.5505E-20
 10000101.0600 -2.9023E-02  6.1489E-15  5.4812E-15  4.8862E-15  4.3561E-15
  3.8837E-15 3.4628E-15 3.0878E-15 2.7536E-15 2.4558E-15 2.1905E-15 1.9541E-15
  1.7435E-15 1.5560E-15 1.3890E-15 1.2403E-15 1.1079E-15 9.9016E-16 8.8536E-16
  7.9211E-16 7.0913E-16 6.3526E-16 5.6949E-16 5.1087E-16 4.5859E-16 4.1192E-16
  3.7020E-16 3.3286E-16 2.9940E-16 2.6935E-16 2.4230E-16 2.1789E-16 1.9581E-16
  1.7578E-16 1.5756E-16 1.4096E-16 1.2591E-16 1.1371E-16 1.1359E-16 1.5744E-16
  3.0523E-16 6.1179E-16 1.0703E-15 1.5924E-15 2.0507E-15 2.3428E-15 2.4289E-15
  2.3306E-15 2.1018E-15 1.8043E-15 1.4893E-15 1.1913E-15 9.2958E-16 7.1122E-16
  5.3561E-16 3.9840E-16 2.9330E-16 2.1430E-16 1.5561E-16 1.1229E-16 8.0800E-17
  5.7956E-17 4.1456E-17 2.9603E-17 2.1109E-17 1.5017E-17 1.0692E-17 7.6002E-18
  5.3994E-18 3.8343E-18 2.7219E-18 1.9318E-18 1.3708E-18 9.7273E-19 6.9024E-19
  4.8982E-19 3.4765E-19 2.4685E-19 1.7529E-19 1.2459E-19 8.8522E-20 6.3058E-20
 10000101.0700 -2.1186E-02  4.0150E-15  3.5793E-15  3.1911E-15  2.8452E-15
  2.5370E-15 2.2624E-15 2.0177E-15 1.7996E-15 1.6053E-15 1.4321E-15 1.2777E-15
  1.1401E-15 1.0175E-15 9.0831E-16 8.1107E-16 7.2449E-16 6.4740E-16 5.7878E-16
  5.1767E-16 4.6326E-16 4.1477E-16 3.7155E-16 3.3299E-16 2.9856E-16 2.6780E-16
  2.4027E-16 2.1563E-16 1.9354E-16 1.7371E-16 1.5588E-16 1.3982E-16 1.2533E-16
  1.1222E-16 1.0034E-16 8.9549E-17 7.9848E-17 7.2594E-17 7.7226E-17 1.2648E-16
  2.8235E-16 6.0222E-16 1.0801E-15 1.6252E-15 2.1052E-15 2.4133E-15 2.5076E-15
  2.4094E-15 2.1747E-15 1.8679E-15 1.5421E-15 1.2337E-15 9.6255E-16 7.3627E-16
  5.5432E-16 4.1215E-16 3.0332E-16 2.2152E-16 1.6076E-16 1.1599E-16 8.3416E-17
  5.9799E-17 4.2752E-17 3.0510E-17 2.1742E-17 1.5457E-17 1.0998E-17 7.8128E-18
  5.5466E-18 3.9359E-18 2.7920E-18 1.9800E-18 1.4039E-18 9.9530E-19 7.0559E-19
  5.0021E-19 3.5463E-19 2.5151E-19 1.7834E-19 1.2656E-19 8.9753E-20 6.3807E-20
 10000101.0800 -1.6143E-02  2.7897E-15  2.4872E-15  2.2178E-15  1.9777E-15
  1.7637E-15 1.5731E-15 1.4033E-15 1.2519E-15 1.1170E-15 9.9661E-16 8.8928E-16
  7.9357E-16 7.0824E-16 6.3219E-16 5.6442E-16 5.0405E-16 4.5027E-16 4.0236E-16
  3.5968E-16 3.2164E-16 2.8772E-16 2.5746E-16 2.3044E-16 2.0631E-16 1.8474E-16
  1.6544E-16 1.4817E-16 1.3271E-16 1.1884E-16 1.0640E-16 9.5217E-17 8.5150E-17
  7.6074E-17 6.7875E-17 6.0459E-17 5.3840E-17 4.9312E-17 5.5753E-17 1.0405E-16
  2.5294E-16 5.5721E-16 1.0118E-15 1.5309E-15 1.9889E-15 2.2841E-15 2.3761E-15
  2.2848E-15 2.0633E-15 1.7728E-15 1.4639E-15 1.1712E-15 9.1388E-16 6.9904E-16
  5.2628E-16 3.9128E-16 2.8796E-16 2.1028E-16 1.5259E-16 1.1010E-16 7.9174E-17
  5.6753E-17 4.0572E-17 2.8952E-17 2.0630E-17 1.4668E-17 1.0434E-17 7.4110E-18
